Nível de Utilização [%];Potência instalada [kVA];Coordenadas Geográficas
20%-39%;880;41.1934875729107, -8.69132844542329
60%-79%;200;41.1410280793321, -8.49230683606306
0%-19%;630;41.135867662497, -8.53248044424176
40%-59%;250;41.158392728389, -8.23505743432137
0%-19%;630;37.5965023736009, -8.64177628707942
60%-79%;400;38.0109418735968, -7.8757061834159
0%-19%;630;37.1077459633226, -8.14127883690241
20%-39%;100;37.1386213007374, -8.16145153051542
20%-39%;630;37.1065536858077, -8.24119617344339
20%-39%;630;37.0920333551369, -7.69889523605658
20%-39%;400;41.1083114040655, -8.6189117403774
60%-79%;100;39.189175291996, -8.57569748203324
60%-79%;100;39.0000680064058, -8.73445818691289
0%-19%;250;38.6776660791247, -8.73020465984408
60%-79%;250;38.5193391681914, -8.81868368072324
0%-19%;1260;41.6808929390538, -8.77699925799039
40%-59%;160;41.3609284207086, -7.8891630437297
40%-59%;630;41.6856145321217, -7.66889722989564
20%-39%;50;37.8841014591511, -8.74168417452795
0%-19%;100;40.8502602724483, -7.83348133285041
20%-39%;100;40.4291918733972, -8.14008252712972
20%-39%;250;40.9062567328259, -8.39511421156302
40%-59%;160;40.4230659852044, -8.41919807685252
0%-19%;500;40.7175887499529, -8.70680002256783
0%-19%;100;40.7464457841524, -8.31788306525143
20%-39%;160;40.5958899398453, -8.59319574888925
60%-79%;400;41.0091363826352, -8.58487100787253
40%-59%;160;41.4479026592248, -8.46134001517676
80%-99%;200;41.4152219603884, -8.32011837033951
+100%;315;41.4457859823814, -8.20176514475353
+100%;50;40.1636637029866, -8.25967980930504
20%-39%;400;40.4465813399501, -7.8520162834301
60%-79%;250;39.9913519932516, -8.10680848774757
0%-19%;100;38.6301912419445, -7.75672066242292
20%-39%;250;40.4355559657927, -8.74360216257749
40%-59%;250;40.3275864608234, -7.68805759540439
40%-59%;100;39.920528001162, -8.74307162034307
40%-59%;630;38.7422507705272, -9.20200726059019
20%-39%;50;39.4036150026026, -7.35098417171502
20%-39%;1260;38.765028793724, -9.32003161152102
40%-59%;100;39.1652592217976, -9.32740786162984
60%-79%;100;41.1432772193296, -8.37142181969611
+100%;250;41.2677365386919, -8.20991563186479
0%-19%;630;41.1282671403123, -8.53540518086413
40%-59%;160;40.405604315722, -8.53293102329547
0%-19%;630;39.9336852720922, -7.23880203680905
60%-79%;250;37.0585164672933, -8.04578581284982
0%-19%;250;37.1558536219668, -7.63612613368608
0%-19%;1260;41.1139745257627, -8.57710207777228
20%-39%;400;41.1685525473047, -8.59887879594355
0%-19%;100;39.3704664314847, -8.88658175112394
20%-39%;100;39.3253280303948, -8.16871629472326
40%-59%;200;38.6462741263765, -9.03553872986064
60%-79%;250;38.67649641884, -8.94964992719791
40%-59%;800;38.6441033505402, -9.20309962667389
40%-59%;250;41.6224429750465, -7.56872104824483
20%-39%;160;41.4397458299612, -7.48594270040764
20%-39%;100;40.5144566753532, -8.17973384924297
0%-19%;250;40.6730494590804, -8.00367363840346
60%-79%;100;40.9019695030811, -7.56166710068459
20%-39%;630;40.7643167695866, -8.70048909022543
60%-79%;400;40.9584379552242, -8.58034819820095
40%-59%;630;40.8392818441614, -8.47965171503723
40%-59%;100;41.7975262992668, -6.74567020316838
60%-79%;250;41.5695362849625, -8.48841364893817
20%-39%;200;41.4058734528078, -8.1526733449288
20%-39%;250;40.1742226980168, -8.61556038297143
20%-39%;630;40.0270569840124, -8.38782990388697
0%-19%;200;39.9376068031484, -8.36795375853508
0%-19%;50;38.7446305468637, -8.3507270438962
40%-59%;400;40.4181595618529, -7.70530556075679
0%-19%;250;39.6146196589987, -9.05975188144582
+100%;160;38.9023132587617, -9.35981648477507
+100%;50;38.8555514912006, -9.1476266430621
0%-19%;630;38.8919822624421, -7.1444456516328
20%-39%;100;39.4955159207457, -7.98430061069234
20%-39%;400;41.1456986257457, -8.60845347147603
20%-39%;50;37.5961154660863, -8.20853601101411
20%-39%;100;39.809569963057, -7.73377857027707
40%-59%;400;41.8338571914793, -7.00975036694928
40%-59%;400;40.3086395513096, -7.46148487365736
40%-59%;50;37.0914470817335, -8.40918064993812
40%-59%;630;37.1050482757236, -8.67782379518966
60%-79%;500;37.1492943092654, -8.65720780562951
20%-39%;100;37.2586214800098, -8.08725607330243
60%-79%;100;41.3373508035798, -8.58777136526098
0%-19%;160;41.2686609382917, -8.46750063298524
40%-59%;400;41.3804764620187, -8.76659884618027
20%-39%;630;39.4042689054728, -8.48619871327525
20%-39%;160;39.4875486255101, -8.39044641170999
20%-39%;50;38.8178799928934, -8.47970541769883
40%-59%;400;38.9325955598593, -8.86467342002307
20%-39%;25;38.2412853947451, -8.14105861798256
20%-39%;630;38.5283925077496, -8.87378778382013
20%-39%;630;39.4747255145471, -8.50007050316075
20%-39%;400;38.65722891776, -9.16039289855019
40%-59%;250;38.5346279992488, -8.90313198148876
60%-79%;630;38.6479815133225, -8.98780284600837
20%-39%;50;37.8434566620216, -8.57530478480172
60%-79%;500;38.5258511315911, -8.90905500285936
40%-59%;250;41.7621179222609, -8.57281661142345
20%-39%;50;41.6002428624706, -7.57585421471496
0%-19%;50;39.3146549151888, -8.11347096232629
80%-99%;100;40.7268214224424, -7.80203094081641
20%-39%;100;40.541279234331, -8.12061225736943
60%-79%;630;41.5167565037513, -8.45999718883471
+100%;100;41.6163733477755, -8.47454672942494
20%-39%;400;41.4556199897668, -8.16577672871319
0%-19%;200;40.220274470551, -8.74843510994665
40%-59%;630;38.5479916927921, -7.91601980015413
20%-39%;400;40.7277262915448, -6.90025493678458
20%-39%;50;40.3233773447536, -7.04817082369915
60%-79%;100;41.1064828859106, -7.32159375964622
20%-39%;250;39.8535047048933, -8.37595618252946
20%-39%;250;39.9535187787384, -8.78717442386205
40%-59%;100;38.9089730428769, -9.21724753420846
60%-79%;500;38.7448678435529, -9.26611300803512
20%-39%;630;38.7423534831198, -9.14744281245078
0%-19%;630;38.7177188139841, -9.22259654284042
20%-39%;400;41.1846212920535, -8.59594293401063
0%-19%;630;41.2279073879732, -8.63874666348937
+100%;160;41.1131361621285, -8.26446727060153
20%-39%;250;40.386284006268, -8.46136318541798
20%-39%;160;41.6872344419442, -8.17019663202962
20%-39%;630;38.7243814690399, -7.98505328733845
40%-59%;315;39.7823632110382, -8.77511782709679
40%-59%;400;38.9291553348605, -9.0144497292523
20%-39%;630;38.8606770513375, -9.06253825059958
20%-39%;250;41.1505849846614, -8.30390444811458
0%-19%;400;41.2015137476661, -8.28768593005548
60%-79%;250;41.2586110514191, -8.34917604801406
60%-79%;50;37.6579103013279, -8.22977565347897
20%-39%;630;41.5803071385177, -8.45581653325701
80%-99%;100;41.524389332177, -6.55418242079937
80%-99%;160;37.0653622670061, -8.09364059059914
40%-59%;250;39.1548619203078, -8.84054504422028
40%-59%;400;39.4867142543163, -8.19324856477621
40%-59%;100;38.6383366839678, -8.96748983813683
40%-59%;100;39.7536878758172, -8.57903079613221
80%-99%;250;38.4591217306439, -9.07399584000834
40%-59%;50;40.5169464087033, -7.64570372442652
20%-39%;160;37.0860862517221, -8.90920863392236
60%-79%;630;38.717461068261, -9.15720593272116
40%-59%;1260;38.7354054623288, -9.15793206919918
0%-19%;100;37.8558347681052, -8.30880047623077
60%-79%;100;40.2987700435029, -7.5002590049832
60%-79%;400;40.1916200428335, -8.40333351358982
60%-79%;250;37.0632046543464, -7.80114421610426
20%-39%;100;39.1620541257262, -8.77465166441355
40%-59%;250;39.3914267800924, -8.4708973682826
0%-19%;630;39.4911608215525, -8.32412507550236
20%-39%;250;41.8642954491786, -8.40961568342233
60%-79%;250;41.3420466020778, -7.72462707661532
40%-59%;100;40.6294800523116, -8.18738451827819
0%-19%;50;41.004037291878, -7.49439637232732
20%-39%;50;40.7004757306343, -8.3749975939857
80%-99%;50;40.3572880029351, -7.27694162273876
20%-39%;250;39.3432106816495, -9.08114893114057
60%-79%;250;39.7360640470917, -8.91958639861081
0%-19%;630;38.7034491375999, -9.42826222956808
20%-39%;400;38.8023369161583, -9.18833774081997
60%-79%;630;38.787120337488, -9.17958527935568
20%-39%;630;41.1609207143108, -8.53210402886012
40%-59%;100;41.1776459766614, -8.2766323450522
20%-39%;100;37.554875352986, -8.40458319579147
20%-39%;250;38.0191549213615, -7.8751039613057
40%-59%;50;39.9343070135804, -7.82358979250895
60%-79%;250;40.2002273567392, -8.43832280990328
60%-79%;100;37.1084821386951, -8.31347210458486
60%-79%;250;37.1535065457417, -8.55575280671882
40%-59%;630;41.2050813752443, -8.53247933757974
60%-79%;630;39.4696057341758, -8.47537160029668
40%-59%;250;39.7436346501552, -8.66794637760591
0%-19%;1260;40.3714183103388, -8.48179532999743
60%-79%;100;41.4240703160311, -8.20933641699577
40%-59%;100;39.9252534267053, -8.66440969940478
40%-59%;630;38.7046834442369, -9.43694018622726
0%-19%;630;38.738859236126, -9.10527656438435
20%-39%;1000;38.7449183594849, -9.15221959554194
0%-19%;400;38.8040402301192, -9.12641356495075
20%-39%;200;38.7805222420103, -9.11289303394432
20%-39%;630;38.9023044244708, -9.03894209954686
40%-59%;630;39.1112279276194, -9.36110562956904
40%-59%;160;41.2768710759558, -8.20240093019204
0%-19%;1030;41.2115200872656, -8.57334632755286
20%-39%;250;40.5596476182825, -8.76660792977035
60%-79%;100;37.1560625019286, -8.62376057515684
40%-59%;100;37.1218993018828, -7.93111349326459
20%-39%;100;41.3150693498453, -8.68789805653718
20%-39%;1260;41.1090212183536, -8.61756029265634
20%-39%;100;39.6601148115976, -7.94770978204305
60%-79%;100;39.1876064395612, -8.60325331576927
40%-59%;160;39.344892878904, -8.64563849417707
20%-39%;160;38.2874982489076, -8.6951104175349
60%-79%;400;38.6737233923147, -9.15563650824112
40%-59%;160;41.7658565311445, -8.5151371478464
+100%;25;41.5052511048545, -7.54444907899872
40%-59%;100;40.7844170835821, -7.79486171455566
0%-19%;500;41.4484746370406, -8.28406011669464
20%-39%;50;40.3036703886643, -7.82255630439399
0%-19%;100;40.8291033813533, -7.17926702527737
20%-39%;50;40.6290749878525, -6.96728411151266
20%-39%;250;39.7887386776671, -8.74930299496694
40%-59%;250;40.2750123777396, -8.43296161934133
20%-39%;400;41.0706552309172, -8.55650761694043
40%-59%;250;39.5009633308739, -8.1013275704964
+100%;250;38.5946886004946, -9.18480102869138
40%-59%;400;38.5557701696582, -8.85412713969035
20%-39%;100;41.6907728181765, -7.43371122600742
40%-59%;100;41.0352670531401, -7.73614786346152
20%-39%;250;40.4529429591211, -8.67660752298757
40%-59%;100;41.5788823008829, -8.20563883995792
60%-79%;250;41.4873575259774, -8.15637876201497
20%-39%;630;41.5517016832726, -8.39644015800707
40%-59%;100;40.8109845225512, -7.38899174629009
20%-39%;400;39.9123287153705, -8.43532723531487
20%-39%;400;39.9113830984583, -8.43683446758651
20%-39%;630;38.7387248021463, -9.21761986484336
0%-19%;800;41.2377740513446, -8.62026549418527
60%-79%;160;40.4747600211613, -8.69655363487598
60%-79%;160;41.6017427449804, -8.57403195912864
20%-39%;50;38.2013012495536, -7.78773758653356
20%-39%;630;37.1358143885264, -8.54270536903982
20%-39%;50;37.3857911465758, -7.7521887379943
40%-59%;250;37.1189340354079, -8.3436818877374
40%-59%;50;41.1592348932703, -8.46916287132921
60%-79%;630;41.3298018277769, -8.71623926404743
20%-39%;400;41.2589885670316, -8.48462268022255
0%-19%;1260;41.2296204577516, -8.53405682169593
20%-39%;630;41.0730511163338, -8.54581262622269
60%-79%;100;38.4481586501706, -8.39160031621192
20%-39%;250;40.762375441325, -8.0690443684245
80%-99%;100;41.0251497900766, -8.20221709178589
40%-59%;100;40.6088583802919, -7.65445539739653
60%-79%;400;40.9859913809562, -8.52370218726532
20%-39%;630;41.0076031825528, -8.63282479296321
60%-79%;100;41.2808744650461, -6.58446851743125
40%-59%;630;41.6535563854854, -8.43699171553623
40%-59%;250;41.5151431675171, -8.78221922663926
60%-79%;160;41.6616648890965, -8.51972767468151
20%-39%;100;41.423918871285, -8.43013298943665
60%-79%;400;38.385074414074, -7.33830483473603
40%-59%;400;40.5525567477564, -7.24315825211329
60%-79%;160;39.6745331974716, -8.66062457923999
20%-39%;400;38.7019221049845, -9.32599700369707
40%-59%;400;41.214588031068, -8.61373163578831
20%-39%;50;39.8712149617878, -7.51928654507626
20%-39%;400;40.2202274654602, -8.43794696227986
40%-59%;100;37.1317852950629, -8.31313447114777
20%-39%;100;37.3262883505968, -8.53013695288491
40%-59%;100;37.0991302106552, -7.75096799802656
0%-19%;630;41.2090470651277, -8.53543279697523
20%-39%;50;39.2368508976487, -8.25292367828294
0%-19%;100;39.2384611303517, -8.8601854213315
20%-39%;630;39.6296885010758, -8.66874624012162
40%-59%;100;41.4735255400697, -7.66283872543897
40%-59%;630;40.9230289957927, -8.54343909605301
40%-59%;250;40.5346440646584, -8.45540292194967
80%-99%;100;40.5757034133626, -8.45860415018011
20%-39%;100;41.5674991181048, -8.04121361491668
0%-19%;50;38.6709611005534, -8.11985447454555
0%-19%;630;40.554919049371, -7.23892324290889
40%-59%;250;40.5032828787954, -7.35439131703094
20%-39%;630;38.996421550178, -9.08268357465345
20%-39%;400;38.9331912746752, -9.01443709195438
60%-79%;100;39.0684402440033, -9.36815771236623
+100%;50;41.2624575652287, -8.03400039194038
20%-39%;250;41.2315272369034, -8.62305471131434
0%-19%;50;38.2841673246548, -7.26749538586813
60%-79%;50;41.5567254358306, -6.42997640613634
40%-59%;100;37.1423408354835, -7.93401773867507
0%-19%;400;37.1104596475349, -8.14892072657987
40%-59%;630;41.1639553069633, -8.62125524608781
0%-19%;250;39.6353551395104, -7.96332311247902
0%-19%;250;39.1401343087976, -8.50062374480245
20%-39%;160;39.6291648193231, -8.57278938780486
0%-19%;630;38.6203587689972, -8.91681028180263
80%-99%;160;41.641743720204, -8.69300657508359
0%-19%;50;37.9318131653706, -8.7707342630293
40%-59%;100;40.6367124634827, -7.99761885779792
60%-79%;250;40.7642351078539, -8.45092014364466
40%-59%;250;40.686617957156, -8.54618230991054
60%-79%;200;41.5061935190998, -8.4742874843464
20%-39%;630;38.5646670094594, -7.92001517313122
0%-19%;630;37.0868472300948, -8.83725820048611
0%-19%;400;37.2033552565105, -7.5355174642809
20%-39%;250;38.7388299555912, -9.32037760920388
40%-59%;250;39.7860798819163, -8.80612609765617
20%-39%;500;38.7613858666874, -9.11994076109678
40%-59%;400;38.9044228417522, -9.11920958711353
0%-19%;630;38.7699077089383, -9.34535187143731
20%-39%;400;38.7845336566656, -9.33716940376316
20%-39%;630;38.7057754366005, -9.22957554867604
20%-39%;800;41.2581216248539, -8.64930208320876
20%-39%;630;41.2340164072117, -8.63032724961957
40%-59%;160;41.6558915620506, -8.3055211206676
0%-19%;50;39.8443235851608, -8.08838024497998
20%-39%;160;37.1665030206342, -7.63179147574038
20%-39%;160;37.1188247120253, -7.72033176307004
0%-19%;400;37.3383503547755, -8.84610322681719
0%-19%;630;37.0954889637807, -8.23433429528567
80%-99%;160;41.3763261320759, -8.74043609858269
40%-59%;630;41.0947567775422, -8.62591049434758
80%-99%;250;38.570933386804, -8.88795853489933
40%-59%;160;40.5447029650075, -8.52429379003421
80%-99%;100;40.5602571534921, -8.58681368328096
20%-39%;400;41.4443184629694, -8.30332546120799
20%-39%;100;41.6954616088529, -6.83431673558202
60%-79%;100;41.4267734880986, -7.20695434257376
0%-19%;100;40.3809457528333, -7.727366675499
20%-39%;250;38.912516017266, -9.20030600545382
60%-79%;160;38.9993822856394, -9.26328782672689
40%-59%;630;38.7969873276182, -9.38974292181371
0%-19%;100;38.9772652912389, -7.08847805830345
40%-59%;630;39.2524641206882, -8.00610637115114
20%-39%;400;41.1272071942013, -8.56217799955262
0%-19%;2520;41.2555304584881, -8.65410797552783
60%-79%;250;41.379699069676, -8.24771375486722
40%-59%;400;41.2801755340776, -8.6173860954106
20%-39%;50;37.8400398811696, -8.47173341553302
60%-79%;100;40.5241524554902, -8.68637889736724
40%-59%;160;40.2601484138039, -7.50241268468127
60%-79%;100;37.1080194317825, -7.69126003321607
40%-59%;400;41.3225081524634, -8.47260078734159
20%-39%;630;41.1763010377659, -8.62319867714377
40%-59%;400;41.216786579631, -8.55698790546977
20%-39%;630;41.1681905485994, -8.60727345915977
40%-59%;50;39.5244281299415, -8.33997056963988
40%-59%;250;38.5722885162549, -8.78223600877061
60%-79%;160;38.6397359976341, -8.92709301852748
60%-79%;100;41.4399668767363, -7.7014738243815
20%-39%;630;40.6848457489464, -7.91613503132082
40%-59%;250;40.7998419849209, -8.67745438521425
40%-59%;100;41.4761867280081, -8.22735670545134
40%-59%;250;40.1950398596481, -8.5017153300356
20%-39%;100;40.0648902427712, -8.31085690075871
40%-59%;100;39.9023738367457, -8.4891572369049
0%-19%;630;39.7173638940027, -8.92724494465669
40%-59%;630;38.7063255738004, -9.42920819156703
20%-39%;1000;38.745100253477, -9.15664656226206
20%-39%;400;39.1417942118702, -9.36011682678288
40%-59%;250;41.3265055555689, -8.27087615968037
40%-59%;500;41.1891458407351, -8.63226465679939
60%-79%;400;41.2227297563694, -8.60240435688618
20%-39%;500;41.2141819284418, -8.56053258101286
60%-79%;50;38.2780848966059, -7.3651352995243
40%-59%;400;38.0066670614094, -7.86888439104395
40%-59%;100;40.1020481537197, -7.48703488496254
60%-79%;250;37.1089439556668, -8.05405451416181
20%-39%;100;37.3464698689004, -8.35844735161958
20%-39%;630;41.1659724371316, -8.61452939365999
0%-19%;400;41.118986556228, -8.57630060675256
20%-39%;400;39.4381454350773, -8.19226085269488
40%-59%;250;38.8590560993452, -8.7139054738392
20%-39%;250;39.3476987590645, -8.51980675519892
0%-19%;50;39.4675657185588, -8.23878212966711
0%-19%;100;40.9630932680933, -7.85812380278421
0%-19%;250;41.5551245129796, -8.78828665714963
20%-39%;630;41.5460517105143, -8.40401771061021
20%-39%;100;40.024096794049, -8.72512520066784
40%-59%;1260;38.7728175043516, -9.11334022389597
60%-79%;160;39.6780846186784, -8.90878408256639
20%-39%;630;38.8670835281136, -7.16552399837987
0%-19%;50;39.1423239266687, -7.60471119498376
80%-99%;160;41.1520256714131, -8.4989823308411
40%-59%;800;41.199455199462, -8.29241122387597
40%-59%;50;37.4175421688926, -8.76682184775991
20%-39%;250;41.3123665598348, -8.64945027700249
40%-59%;50;39.8184801271031, -8.48509796430608
20%-39%;250;41.0856811294525, -8.04464747057987
20%-39%;400;40.6596333285262, -7.92096441674913
40%-59%;160;40.7475770874065, -8.00242024049323
60%-79%;250;40.9948272849603, -8.50212655100364
0%-19%;250;40.4803816245069, -8.53797005180058
60%-79%;100;40.1079649846896, -8.58933342028704
20%-39%;160;40.1567493499629, -8.83878047575109
60%-79%;100;39.4172161256805, -9.15496838630813
20%-39%;630;39.4103219686672, -9.13837503740077
20%-39%;700;41.3739323799433, -8.19499538369853
80%-99%;200;41.2700620704639, -8.64818300501837
20%-39%;630;41.1614472287859, -8.67065226888263
20%-39%;160;40.8341640211723, -8.40065959615809
40%-59%;100;40.3223413041649, -8.63506840152746
20%-39%;630;37.0927664971045, -8.24044488682688
40%-59%;630;37.0970191915615, -8.67484362222608
40%-59%;400;37.0847935705761, -8.04284473129017
40%-59%;630;41.1518514056905, -8.60722573024265
20%-39%;400;41.0334758342347, -8.51329391082334
80%-99%;100;39.2530442967817, -8.54177457435453
40%-59%;500;38.6335714677374, -8.91927167157239
40%-59%;400;38.6244242540108, -9.09996387792584
40%-59%;250;38.6322774122207, -9.1727921929076
60%-79%;160;41.741550551956, -8.56854134835471
60%-79%;50;42.0280135347836, -8.13153463321431
20%-39%;50;40.8560511510027, -7.60836133512854
20%-39%;630;40.9688991275367, -8.53731037689858
20%-39%;400;40.8861761217383, -8.48482598786887
60%-79%;100;41.4848205870459, -8.37295898679675
80%-99%;100;41.5533630442946, -6.95407287516822
20%-39%;630;40.2127925909942, -8.40733309436303
20%-39%;250;38.8713198450987, -7.46801321705014
0%-19%;100;41.0071972400956, -6.93862980112059
20%-39%;160;39.7760892024239, -8.82266080786195
20%-39%;250;38.9785669196305, -9.33651812173797
60%-79%;100;40.2815480758388, -8.48685609871267
40%-59%;250;37.0822692151536, -7.79183205858496
40%-59%;100;37.1769533444707, -8.35140717129421
20%-39%;100;37.1183604895816, -8.08192121010513
0%-19%;400;41.1571386548792, -8.6263053271527
0%-19%;630;41.1671843065927, -8.65263199710883
20%-39%;630;41.1489665626301, -8.63340617352033
80%-99%;100;39.0260945845691, -8.65112622015381
0%-19%;250;39.4655765425763, -8.48224206426514
40%-59%;100;39.539167332486, -8.54471124644789
20%-39%;400;38.6291794549307, -8.91608902072508
40%-59%;630;38.6552906052514, -9.045206645559
20%-39%;630;41.835433564841, -8.4206767280443
40%-59%;50;41.1394826063496, -7.87331742926868
20%-39%;160;40.6053248664088, -8.4838554844164
40%-59%;630;40.9010845183536, -8.49429612095637
20%-39%;50;40.7796311808723, -7.13954672711598
20%-39%;630;38.6980163811292, -9.42802088866689
20%-39%;250;38.733604456394, -9.32555450536022
20%-39%;250;39.7469819771027, -8.82712958780195
60%-79%;400;38.8448765439412, -9.19903555607468
40%-59%;1600;38.7205531147708, -9.1350090182865
20%-39%;50;38.280662556387, -8.04775888009384
0%-19%;1260;37.0926076992228, -8.70744588608055
40%-59%;100;37.0475334005301, -7.85221165679581
20%-39%;630;41.1137845384063, -8.60818398703893
0%-19%;100;39.0857027269638, -8.72092646120819
0%-19%;50;41.3265596353816, -7.36863901747269
0%-19%;630;40.8466646285164, -8.47463453777653
40%-59%;250;41.7045259839389, -8.40975903999393
20%-39%;250;40.108600603341, -8.72443078832557
20%-39%;250;40.7192775449159, -6.90486389106033
20%-39%;630;38.7030585156767, -9.18238509699901
20%-39%;160;39.9763484147671, -8.62496116710443
40%-59%;160;39.5804711035693, -9.0027468825053
0%-19%;250;39.0820868299597, -8.17329570905229
40%-59%;400;39.1365214297799, -9.37366607676591
20%-39%;160;41.4519299874354, -8.61217575446194
20%-39%;100;39.796305941177, -7.8252542984898
40%-59%;50;40.2077905509278, -8.17199941057934
40%-59%;160;40.4185612144659, -8.66039615243278
20%-39%;250;40.2889694956446, -7.47784157934396
40%-59%;250;38.6707208288824, -8.97754104721761
20%-39%;100;40.7795873908741, -8.16117964365803
40%-59%;100;40.7123989963283, -7.76189089898125
0%-19%;630;40.6838252385782, -8.4860294155248
60%-79%;50;41.0654872399165, -6.82689249357483
40%-59%;160;39.7942618514367, -8.59015427070903
0%-19%;50;39.9911209378286, -8.2749728532333
20%-39%;250;39.2053416457539, -8.95549050948766
60%-79%;250;39.6236701815854, -8.90326946145621
20%-39%;2520;38.738131273643, -9.16312900744558
60%-79%;630;38.7372642260781, -9.15130039177838
40%-59%;100;39.0573799009941, -9.40873914622622
0%-19%;400;38.7378226756466, -9.22790644736172
40%-59%;250;41.181695546451, -8.15171310993476
40%-59%;630;41.1901735254912, -8.44218562647544
20%-39%;630;41.1392269905681, -8.55592947687582
0%-19%;100;41.5599978622315, -8.70078748520777
0%-19%;100;37.9631939915787, -7.8139508255743
60%-79%;160;41.5960810181538, -8.6252077733668
0%-19%;630;39.8272220612829, -7.48860454072699
20%-39%;250;37.1360617873565, -7.95489491026127
0%-19%;400;41.0764692454007, -8.57690816313525
40%-59%;400;41.0612405164119, -8.64509442594132
40%-59%;100;39.3915672738682, -8.5142444735309
40%-59%;100;39.6994669189275, -8.50614140540947
20%-39%;400;38.7040368167976, -8.97011107843857
20%-39%;50;41.9677222199199, -8.26726665643921
60%-79%;100;41.9544174029927, -8.71753482626089
20%-39%;100;40.754442456495, -7.97408225880046
40%-59%;250;41.0681117396, -8.28954625723078
0%-19%;630;40.9434762178488, -8.40684438192789
40%-59%;250;40.6327791000882, -8.54589293120868
20%-39%;160;41.4430840174588, -8.3610485229489
40%-59%;160;41.4648224854141, -8.47563148404788
0%-19%;50;40.7449239742858, -6.87946974144507
40%-59%;400;39.0677142856306, -8.87054525609722
20%-39%;400;38.719738045116, -9.41299258920673
80%-99%;250;38.7839960805973, -9.34682275061942
80%-99%;500;38.7903301167051, -9.14241700513263
0%-19%;630;38.8881793831381, -9.04679062933905
40%-59%;160;39.0954591495576, -9.18973371867809
0%-19%;400;38.9457508728777, -8.9991384202876
40%-59%;200;41.1151374596005, -8.00593099634221
60%-79%;250;41.5283143693142, -8.42340090146345
+100%;100;40.258365827109, -7.93885216119237
20%-39%;50;39.8575965113304, -7.78417689963786
60%-79%;160;39.7974369212989, -8.11406530957384
20%-39%;100;37.0855718548917, -8.75925755128649
40%-59%;100;37.4383360808647, -7.50870199064369
40%-59%;850;41.3830742023154, -8.75811508230329
+100%;250;38.605792060898, -9.17271964259596
0%-19%;630;41.6957951624439, -8.8494134941061
60%-79%;160;41.4058152723929, -7.50318239197306
20%-39%;630;40.3996443880645, -8.13178103612329
0%-19%;630;40.9571323328755, -8.65247027952742
40%-59%;160;40.7399023070244, -8.49015858425593
60%-79%;160;38.6049218241908, -7.86714056334633
60%-79%;630;40.1913140030103, -8.51283028966485
40%-59%;400;40.09116150001, -8.82965247865687
60%-79%;160;39.3073148411234, -9.21929357886317
20%-39%;630;37.0724213800883, -8.77802025648414
0%-19%;630;38.6964183350095, -9.22189845774768
20%-39%;630;38.8384296243138, -9.15929481005284
20%-39%;630;41.2055124296458, -8.56578175217572
60%-79%;250;41.2409448620546, -8.61499405404851
20%-39%;250;41.2802679289216, -8.62350994392178
20%-39%;400;38.0046054755035, -7.86590762900111
20%-39%;160;37.1572233226394, -8.6158649464813
0%-19%;250;37.1099221867418, -7.7416547088795
20%-39%;630;37.1249460912783, -8.54135521971859
60%-79%;250;39.4487956084695, -8.51271978731848
20%-39%;100;41.5236711437842, -7.67303334348016
0%-19%;100;41.0944615884736, -7.82238838180573
20%-39%;630;40.5165980522622, -8.08142223378096
60%-79%;160;40.3865951062488, -8.46775265243039
40%-59%;400;40.8959554576438, -8.50419623625753
40%-59%;800;41.563115273933, -8.42053179187022
20%-39%;100;40.7239355137511, -6.8944139604394
40%-59%;250;39.671588528875, -8.85599780918172
20%-39%;100;40.5298415997, -7.24454811490527
60%-79%;40;40.4699294037701, -7.12280312769258
20%-39%;100;39.3269279480143, -9.16484728318216
0%-19%;1260;38.7322992202281, -9.30913006633942
60%-79%;400;39.1967874544316, -9.23187430726526
60%-79%;250;41.2984791894853, -8.30763923515676
40%-59%;250;40.2170141115331, -7.52982363760748
0%-19%;100;39.7851542463209, -7.82826664165994
40%-59%;50;37.2555758577931, -8.50547559108242
60%-79%;630;37.091983188057, -8.24266506037553
40%-59%;160;37.1224751047241, -8.11274695157411
0%-19%;1230;41.1785926381918, -8.57184565784272
0%-19%;630;41.1577913552528, -8.64965894135198
20%-39%;250;39.4652605827207, -8.14667759596574
20%-39%;630;38.6414179719938, -9.10596819263944
20%-39%;100;39.7079118643537, -8.59414963860562
0%-19%;250;38.5832259806059, -9.07675987357466
40%-59%;100;40.6783877264817, -8.20355067506411
0%-19%;400;41.2818582386128, -7.84764174535097
0%-19%;250;41.6270921958631, -8.20038937416118
40%-59%;160;41.4372405476398, -8.40104717066947
60%-79%;250;40.5318268955373, -7.26552200730982
0%-19%;50;39.2844203169243, -9.16666484512848
20%-39%;1260;38.7321972352357, -9.14723625358583
20%-39%;400;38.8662538652074, -9.32211521913907
40%-59%;400;39.1457371952142, -9.36383147566493
0%-19%;160;39.0206664163617, -6.97884515615664
60%-79%;250;41.2336890961589, -8.22677282145777
60%-79%;160;40.3664707047349, -8.7237002468545
20%-39%;160;41.2983992307838, -8.62439823692063
80%-99%;100;41.2851613430994, -8.57353808313083
20%-39%;630;41.129365163103, -8.60394370986271
40%-59%;100;41.2658066585671, -8.47557821962958
40%-59%;250;38.9965655816095, -8.44800911119683
40%-59%;50;38.2417805889153, -8.75286902834103
20%-39%;160;41.3529911213771, -7.72214516449834
