Nível de Utilização [%];Potência instalada [kVA];Coordenadas Geográficas
0%-19%;1260;41.5577645018009, -8.43448112372703
20%-39%;250;41.4788192843592, -8.61049775819984
20%-39%;630;40.1366494223504, -7.50434609447378
20%-39%;800;40.2178957532276, -8.40592475290421
60%-79%;250;41.353873144407, -8.74018570600579
20%-39%;160;41.3452121828507, -8.55090506073609
20%-39%;160;41.3561346051053, -8.42800565755491
60%-79%;250;39.3286394720714, -8.57773548718951
40%-59%;400;38.6354381268883, -9.16196993427225
0%-19%;160;41.8356049230484, -7.77940053947615
+100%;25;40.5347865477573, -8.31108174820928
20%-39%;160;40.757350319844, -8.66275785593096
0%-19%;250;41.5657590767973, -8.47705416532861
40%-59%;160;40.2534473610162, -8.4853121407649
20%-39%;100;40.8704679191916, -7.39768710378979
40%-59%;50;39.7663906985286, -8.38340901077643
60%-79%;630;38.7111053086223, -9.24442317596075
40%-59%;250;39.0589776395523, -9.32583222333563
20%-39%;50;39.0676658507015, -8.19290912064582
0%-19%;1260;38.8028657324455, -9.34939733907788
20%-39%;400;38.7657645808249, -9.35319677347089
80%-99%;250;41.2479760110551, -8.31672914414572
20%-39%;630;41.1865764964193, -8.61099730352058
0%-19%;100;41.4056814552875, -6.73310865115595
40%-59%;50;37.3063614441198, -7.91682980017515
80%-99%;100;37.1676130542859, -8.25480839994424
40%-59%;200;41.3462272683046, -8.45832366820536
80%-99%;630;38.5672610325659, -9.09814797296464
40%-59%;400;38.7482853078597, -8.97029239896391
20%-39%;160;39.6528953813392, -8.51278421765742
0%-19%;1030;38.5262754936878, -8.89014391397288
40%-59%;100;41.7634137739941, -7.43037734108046
+100%;100;41.2507032482371, -7.70112790854225
20%-39%;100;41.0290848631446, -8.34403630288857
0%-19%;250;41.4964978572222, -8.36156583890537
40%-59%;250;41.3864314627597, -8.32098869935004
80%-99%;100;41.7047289392049, -8.16740518836154
20%-39%;100;40.0321953956788, -8.32125917392506
40%-59%;250;40.431635544146, -8.72679690289719
40%-59%;100;40.100577692875, -8.46529681472026
20%-39%;50;40.3175635130678, -7.10132846023554
60%-79%;250;40.3546792129308, -7.09415512095346
40%-59%;50;40.3411452983616, -7.04818415594229
20%-39%;100;39.9377076875311, -8.53780219588401
0%-19%;630;39.7647004089327, -8.81208891315064
40%-59%;630;38.7072242967945, -9.3302019042707
0%-19%;1260;38.740596117629, -9.14538765823653
20%-39%;630;40.2098644328575, -8.45700852572469
20%-39%;400;37.1044551885568, -8.35907012275248
40%-59%;650;41.3781631897527, -8.76091519294343
40%-59%;250;41.0285049444249, -8.49897778090438
40%-59%;100;39.5312795118427, -7.84679388110543
20%-39%;160;38.6135599190911, -8.81112204573766
60%-79%;50;40.883210214711, -7.90986108295471
60%-79%;400;40.9940239779145, -8.56951578977936
40%-59%;250;41.5125134116219, -8.31602664140877
0%-19%;160;41.5719224907241, -8.47511838689262
0%-19%;100;39.5128715064929, -7.7993794253368
40%-59%;1030;41.2780059951489, -8.28267347720794
20%-39%;630;41.2478007195911, -8.65840688316315
20%-39%;50;38.2689128395414, -7.98786999188015
40%-59%;250;38.0183588968802, -7.86050371878597
40%-59%;50;41.4177149519713, -8.70885258253552
20%-39%;100;39.5042005665234, -8.33820416621418
40%-59%;315;38.5191371683067, -8.966703377718
80%-99%;160;38.6876298693326, -8.61278403300135
20%-39%;630;40.898370345936, -8.48688407612551
40%-59%;250;40.610453931139, -8.46932424097724
20%-39%;400;40.9046156181134, -8.4796464564763
80%-99%;100;40.6815535414665, -8.48979347777475
80%-99%;160;41.5517704450941, -6.94347576046953
60%-79%;200;40.152539299781, -8.3463465344717
20%-39%;250;39.075097349681, -9.10658374864835
20%-39%;250;38.8637539399963, -9.36772907716965
20%-39%;250;38.9036106501485, -9.36208721239639
40%-59%;250;37.0952287474949, -8.73553281037993
40%-59%;160;37.1922850619108, -7.50281451324469
+100%;100;38.9953225572086, -8.77544404914883
40%-59%;100;39.7250103258275, -8.40971042730314
0%-19%;630;38.9444684104922, -8.49904083654698
20%-39%;400;39.6310960221385, -8.66506679021626
40%-59%;400;38.4816639320952, -9.09979234108959
0%-19%;250;38.5086313294054, -9.16401171449666
40%-59%;250;39.7226312246583, -8.54728424789087
20%-39%;100;42.0677218256929, -8.35791320325766
0%-19%;250;41.316066150749, -7.8693441804643
60%-79%;100;40.0999150462805, -8.54201631435643
20%-39%;50;40.6909174319185, -7.33304446705028
0%-19%;100;40.6978546415043, -6.82886827765221
20%-39%;250;38.7314226559479, -9.40323227367092
20%-39%;100;39.9501363132948, -8.64322520650892
20%-39%;630;38.7519332278359, -9.35269989062711
60%-79%;630;38.7960287246981, -9.14957577331694
20%-39%;100;39.4009390149496, -7.6261611795668
20%-39%;400;41.2182216433929, -8.63314043114099
40%-59%;630;38.0088623199355, -7.85339401843403
60%-79%;160;41.6404090065363, -8.6452138523332
80%-99%;160;38.1215318531904, -8.06029746878985
20%-39%;50;40.2659815662911, -7.93095114161332
40%-59%;315;38.4215762788511, -7.53134371864581
60%-79%;50;39.2973069151364, -8.81954507847453
40%-59%;100;38.0297696343248, -8.70843847156538
40%-59%;400;38.6562316910193, -9.06260423340241
0%-19%;630;39.4781700145093, -8.62371284784815
40%-59%;250;42.0275045129372, -8.64070280899507
60%-79%;160;41.2904450800012, -7.88122351857947
20%-39%;250;41.0820750279683, -7.82939195289859
20%-39%;50;40.4173075524864, -8.12567786209482
20%-39%;1260;41.543170131524, -8.40000513857836
40%-59%;160;40.2084792697165, -8.79175074252274
20%-39%;50;40.8838361902367, -7.20122632485679
40%-59%;250;39.9780283255686, -8.45568153046978
20%-39%;250;37.0802650404117, -8.91367183013882
60%-79%;100;40.5149398209014, -7.1779362145292
40%-59%;160;39.514482401535, -8.75242441362815
40%-59%;1000;38.7559736533231, -9.197215562149
40%-59%;630;38.7786363806263, -9.1964660126372
40%-59%;160;41.1777314131569, -8.34447198886669
20%-39%;250;41.1947534828432, -8.40923421266591
40%-59%;250;37.9214923223556, -7.79722696230003
20%-39%;400;37.1398732517271, -8.56018417806734
20%-39%;250;37.2079634966634, -8.26438882549935
60%-79%;160;37.1081334776813, -8.00777380784028
40%-59%;250;38.6848075752159, -8.5126112519132
60%-79%;160;41.3860203117709, -8.70562435849114
60%-79%;160;41.2249434554421, -8.52324103856982
40%-59%;400;41.2135469896788, -8.55987421806627
80%-99%;25;41.3387904028217, -7.90947719674047
0%-19%;250;41.856521539508, -8.41188854204184
20%-39%;160;42.0800372208072, -8.34422083006405
20%-39%;160;41.6651441277154, -8.80907531126902
60%-79%;100;41.034385221968, -8.21084467676322
40%-59%;250;40.6424783732972, -8.01411985211227
40%-59%;100;41.1323483212625, -7.79584462244495
60%-79%;50;40.6478243786131, -7.75239979893157
40%-59%;100;40.4763075522763, -8.57846447016731
40%-59%;400;40.8835157440167, -8.53515227909221
20%-39%;50;40.4167205212884, -7.22707844022943
20%-39%;400;39.759342807324, -8.79664062378257
0%-19%;1260;38.7646060933776, -9.0972455914732
40%-59%;160;38.9752147304282, -9.04205405305884
60%-79%;100;39.3416392506578, -9.30034678834847
20%-39%;630;38.8167034651957, -9.11761906848358
20%-39%;250;38.7223917200032, -9.15097037223663
0%-19%;630;39.2189543170455, -9.29329188710476
40%-59%;630;38.7207596724253, -9.13023340598327
+100%;100;38.8999103875909, -9.05288978170455
40%-59%;630;38.7320031529832, -9.21698392236197
60%-79%;400;41.6022404040134, -8.63050034466951
80%-99%;100;40.162022287465, -7.97374723934628
0%-19%;50;41.1753492001793, -7.06468175416741
40%-59%;250;39.5000322219696, -8.67272685062164
40%-59%;3780;38.5376015116076, -8.87758063439061
40%-59%;400;38.6145775805822, -9.08647215006029
60%-79%;50;41.7851400662017, -8.44929548789426
40%-59%;160;41.6541254692949, -8.61470763804649
60%-79%;250;40.9840074662348, -7.64082418017028
60%-79%;63;41.4353716843041, -6.39396136085477
40%-59%;630;39.4271555472061, -8.98038293363302
20%-39%;100;40.7649924660398, -7.57159816709964
20%-39%;800;38.7074745912942, -9.2327754985961
20%-39%;1260;38.7576172458672, -9.09716963687116
0%-19%;500;38.7384566128745, -9.14833190915142
20%-39%;630;39.4124279203277, -7.453458457538
20%-39%;630;39.0244188996401, -9.27994613415555
60%-79%;250;39.2556956015653, -8.02108733856994
40%-59%;160;41.3297025366155, -8.30911343729336
80%-99%;630;41.5318125806415, -8.6179406928963
80%-99%;50;40.8682479103166, -8.34311637645203
0%-19%;50;41.837463266291, -7.02227784977693
0%-19%;50;40.3308740148138, -7.37749279839617
40%-59%;250;37.0937466698461, -7.69667582010906
0%-19%;50;37.2576858549643, -7.61488129791781
0%-19%;1260;37.1207586454916, -8.54537396762456
20%-39%;100;37.2652526556107, -8.21716929556561
+100%;50;37.1230805179604, -8.08527706180325
40%-59%;630;39.2250058941759, -8.69088714316353
20%-39%;100;38.9649034343537, -8.54119742552418
80%-99%;160;38.8587489269212, -8.74115798049058
60%-79%;400;38.6478588951204, -9.14857776257986
20%-39%;630;39.6297869080077, -8.67821886346317
0%-19%;160;41.7078633613727, -7.49605737960067
20%-39%;250;40.3629781090398, -8.11202567239386
40%-59%;400;41.1103002353664, -7.80817082018093
40%-59%;250;41.002079423423, -8.51835638821839
40%-59%;250;40.811274651353, -8.57705330512948
40%-59%;100;41.3615624759196, -8.05422711591825
60%-79%;400;39.4113651609763, -9.12724173133636
20%-39%;400;39.7372622914953, -8.82394089114077
80%-99%;160;41.581842866368, -8.61724877276428
40%-59%;50;41.2525175287965, -7.09309822404657
80%-99%;250;41.3674468355924, -8.75461936001523
0%-19%;630;41.0910804423807, -8.52920351782154
0%-19%;250;41.1300537749364, -8.60874393774822
40%-59%;160;39.4774716939091, -8.50374469354425
0%-19%;400;38.4595706766673, -9.10733390987092
0%-19%;50;37.9175339100916, -8.55399482573889
20%-39%;100;41.4461403558674, -7.59516148278887
0%-19%;400;40.4352498562319, -7.99758710417415
20%-39%;250;40.6779651808802, -8.53313449676383
40%-59%;250;40.7238165806258, -8.37954090045221
60%-79%;50;40.0061148419616, -8.34421503301013
40%-59%;160;39.7940397607836, -8.86548631173709
20%-39%;1260;38.711666312841, -9.14980671317597
20%-39%;630;38.7963039536438, -9.17766905265113
0%-19%;630;41.2316211698462, -8.62166450739886
60%-79%;100;41.0522258372265, -8.33861729731696
40%-59%;250;41.6223835514725, -8.40529118913724
40%-59%;100;41.4987391699261, -8.41419273697162
60%-79%;100;40.3422648250195, -8.60648769854929
40%-59%;100;40.2751007994529, -8.14067874146571
40%-59%;250;37.1475701750041, -8.54644252551013
0%-19%;630;37.1671711086436, -8.64081055370228
20%-39%;630;37.0192040332856, -7.92903671816051
20%-39%;630;41.2004005388884, -8.51381493556227
40%-59%;100;39.3196875141696, -8.69041002375022
40%-59%;160;39.2835766603975, -8.72006033596203
20%-39%;160;38.5517930038458, -8.9320332048923
20%-39%;400;38.6586511870571, -8.99319108479413
80%-99%;50;39.795511149329, -8.51038799546931
20%-39%;630;38.5641836658622, -8.87906195605234
60%-79%;100;41.6058380934825, -7.63468760846737
40%-59%;400;40.5284844433511, -7.85296868383017
40%-59%;250;40.4263287882526, -8.01094773139806
40%-59%;50;40.9124912552141, -7.97581683298973
20%-39%;50;40.7301570909347, -8.34372085979188
0%-19%;100;41.7207447208291, -8.29413086301288
20%-39%;250;38.5597269156413, -7.89299654891856
80%-99%;100;39.4999287727413, -8.9415360095332
0%-19%;100;39.984254893269, -8.20239591818914
0%-19%;630;39.1166723128548, -9.38412669682623
0%-19%;630;39.0073346089495, -8.97037083393161
80%-99%;100;39.3490085631039, -7.64978576602785
60%-79%;250;41.3320195844147, -8.31538044335684
40%-59%;100;41.1606902859313, -8.13013426447155
+100%;100;41.1887366088288, -8.21403714368597
20%-39%;400;41.2149113105075, -8.67219293001971
40%-59%;630;41.1683867510506, -8.62993015688351
20%-39%;630;41.1789635133157, -8.65853362730006
20%-39%;630;41.5456137790924, -8.41221124990244
0%-19%;1260;39.8262749496379, -7.48987370279169
40%-59%;400;37.0811759243306, -8.30324065749588
20%-39%;1260;41.1625290907897, -8.61449601918185
40%-59%;250;38.8663665411739, -8.74307771723015
60%-79%;400;38.6597567803554, -9.24183732700428
40%-59%;250;41.8273681091137, -8.41337410462832
60%-79%;250;41.7690679028593, -8.86125273039119
0%-19%;250;40.7148830750341, -8.48291682171637
0%-19%;630;41.5614088948612, -8.45303461948458
20%-39%;160;41.4294023900147, -8.4120076379709
+100%;50;40.9739261388743, -7.26291917824528
0%-19%;630;38.8442125019305, -9.37780872100868
40%-59%;500;38.7974081549662, -9.17841085870765
40%-59%;50;39.0254491021845, -7.09137645042692
0%-19%;630;41.1878253919378, -8.63131439432393
0%-19%;50;40.1107576093558, -7.39468528455809
40%-59%;250;37.0790230257554, -8.05462066700015
20%-39%;160;38.7136860071791, -7.56968460584128
60%-79%;100;39.6101496100828, -8.49994075594019
40%-59%;100;39.6823831411174, -8.58382627215138
60%-79%;400;41.129694491694, -7.76216393725683
40%-59%;100;40.542520310471, -8.07187891079761
40%-59%;100;40.7431983167591, -7.93822853354133
40%-59%;50;41.5171412491053, -8.03922366278908
+100%;200;41.4832688418709, -7.17394655745349
40%-59%;100;39.4856785020385, -9.01242250301945
40%-59%;100;39.0701940691388, -8.13071130456771
0%-19%;100;39.4493505562873, -7.69352903897162
0%-19%;250;41.2810748584935, -8.61514615404806
40%-59%;400;37.9475295725992, -7.59610079852981
0%-19%;160;37.1770229266242, -8.4631988194873
60%-79%;250;37.1066161113634, -8.03110027524051
20%-39%;400;41.0405038602789, -8.62858901332908
20%-39%;630;41.1741889470838, -8.64216759799869
20%-39%;630;41.3093972057328, -8.73526060741105
60%-79%;250;39.3940247538113, -8.70862578171628
40%-59%;250;39.4126194372325, -8.48627881799391
20%-39%;100;39.3763074603751, -8.61151823524063
40%-59%;630;38.6840511520431, -9.15479003398115
40%-59%;100;41.5576662926831, -7.28573803175081
40%-59%;630;37.8509695885684, -8.79468432531317
20%-39%;250;42.0168343579065, -8.3888278329626
0%-19%;100;41.0702084204583, -7.90465727240903
0%-19%;650;40.6481973464361, -7.9073843591266
20%-39%;630;40.8692986221888, -8.49901389521521
20%-39%;630;40.8978273168775, -8.47852164262678
40%-59%;250;39.2819014544225, -9.14524518881143
40%-59%;630;38.6933494001399, -9.2082978419132
20%-39%;50;39.2398907270979, -7.8978428564747
20%-39%;50;37.4696605986094, -8.58891151152541
60%-79%;160;41.5568682680161, -8.59187114898377
40%-59%;50;40.1435262564882, -7.16747870341209
0%-19%;1260;40.1860882383467, -8.41395418832476
40%-59%;250;37.0925427754465, -8.26214950231809
80%-99%;100;37.2079745580835, -8.20850523448794
20%-39%;100;37.2308142417542, -8.16271420492321
20%-39%;400;41.1149125181565, -8.65326718635662
60%-79%;250;39.3162907601413, -8.68734350393445
40%-59%;630;41.0002653783069, -8.60891502861818
20%-39%;400;40.1681332422168, -8.8824231532391
0%-19%;630;39.5757269221257, -8.98212586162697
40%-59%;50;39.3936494774897, -9.03664595641662
60%-79%;50;39.8470657020114, -8.64344140476025
60%-79%;250;38.7076216399197, -9.32395353399196
40%-59%;400;39.9022861580914, -8.63403363695575
80%-99%;630;38.7464785814164, -9.16680371592757
20%-39%;50;39.391869847338, -7.38824999514448
20%-39%;50;39.4086004937711, -7.39144921303803
60%-79%;100;41.194738573471, -8.13770760942162
60%-79%;250;38.958621676225, -7.75428369850667
60%-79%;250;41.196407782006, -8.41335120546851
40%-59%;500;41.1880655435638, -8.66600888370783
60%-79%;630;41.1421851180263, -8.52599659161748
0%-19%;100;40.2295940587584, -7.53686033935093
0%-19%;100;40.0718612495814, -7.40057470393508
40%-59%;100;40.1166975572958, -7.47381537653777
20%-39%;100;41.2964744444657, -7.09768956131797
20%-39%;250;40.4280132297952, -8.59010714278032
20%-39%;630;37.1315693208103, -8.54388116997684
40%-59%;630;38.3356436082931, -8.00316357213699
80%-99%;100;38.9834879400518, -8.52619486744824
0%-19%;630;38.7046744624175, -8.9621569159757
40%-59%;400;38.5334720306363, -8.89062571660449
20%-39%;1260;41.6908147169136, -8.82835288477614
40%-59%;100;41.6840390377021, -7.69097521999863
20%-39%;1260;41.4434128489291, -8.30415841347052
20%-39%;400;41.4275959602481, -8.357814301747
20%-39%;630;41.3810660936422, -8.41498302008777
60%-79%;250;40.3681096593284, -7.87443384738315
20%-39%;100;40.0029981501883, -7.98052832752804
20%-39%;100;40.5834453588029, -7.31407182377277
80%-99%;100;39.500032687997, -8.99425805887297
60%-79%;100;39.5121755958544, -9.1049790411156
20%-39%;100;40.6152312988774, -7.09346373709869
40%-59%;630;38.7955221099673, -9.16598255682219
40%-59%;160;38.9519256188816, -7.21407324965355
40%-59%;630;41.2055177699279, -8.6461691429717
20%-39%;630;41.1863970699437, -8.65478935777422
0%-19%;50;37.9155277723387, -7.43315166524931
20%-39%;400;40.8508561335653, -8.39202679732583
20%-39%;250;37.1756582641842, -8.57853343763487
20%-39%;630;41.0937583687195, -8.59093291536519
20%-39%;100;39.0641214483974, -8.54479872188618
60%-79%;100;41.6349850267635, -7.39668387850965
40%-59%;50;41.996342724557, -8.59264504410516
20%-39%;630;41.2983106012169, -7.75051345383507
+100%;25;41.8887644195853, -6.91881402241203
0%-19%;250;40.5754563846662, -8.48206859852956
0%-19%;630;41.369694684579, -8.30344472972394
0%-19%;630;41.5022445512631, -6.27871181807049
0%-19%;250;41.6022854056763, -8.77414629627141
40%-59%;100;41.5388960608993, -8.29202151143895
20%-39%;250;40.2631447387218, -8.28586020467877
40%-59%;100;38.6026586337995, -8.16641357544424
0%-19%;50;40.0913841209863, -7.97582737114319
40%-59%;100;40.3262474297112, -7.90708866385805
20%-39%;400;39.8170586380992, -8.380631903908
40%-59%;100;40.3795373662504, -7.00899700840416
60%-79%;100;40.7923719595845, -7.0613731352547
0%-19%;630;38.7888367703313, -9.12428715062403
0%-19%;630;38.8140193159783, -9.16744459048783
20%-39%;50;39.1148888488541, -7.57585663654671
40%-59%;630;37.0236781332134, -7.9335428922638
0%-19%;250;41.3726257861621, -8.69216487693507
0%-19%;400;41.3196267430688, -8.70437368586635
40%-59%;400;38.5802210345347, -9.18653304670401
20%-39%;630;38.5241147392507, -8.89027722690425
0%-19%;100;38.5661364802541, -8.88043461586185
20%-39%;630;38.5777023435935, -9.08836707124158
20%-39%;250;38.5892900494163, -9.02223644958467
20%-39%;100;41.4178373735211, -7.94942947155056
40%-59%;100;41.2178813032979, -7.77123143414384
0%-19%;100;41.0708663444318, -7.47375639870422
60%-79%;100;41.0532275455482, -7.67765740971791
20%-39%;100;41.0661508398186, -7.92824380156077
60%-79%;250;40.596224292173, -8.65567272588562
20%-39%;100;41.4931893877963, -8.29084809009925
60%-79%;400;41.3744637672969, -8.30773263205131
20%-39%;250;40.4455897453887, -8.75786538906754
20%-39%;100;40.9639200175713, -7.21349002239834
60%-79%;100;39.3082984093734, -9.04316264308794
20%-39%;400;38.8690925384099, -9.09299049232969
