city;city_ascii;lat;lng
Salvaterra de Magos;Salvaterra de Magos;39.0167;-8.7833
Meixedo;Meixedo;41.8070;-6.7540
Póvoa de Lanhoso;Povoa de Lanhoso;41.5667;-8.2667
Machico;Machico;32.7000;-16.7667
Azambuja;Azambuja;39.0667;-8.8667
Seia;Seia;40.4167;-7.7000
São João da Madeira;Sao Joao da Madeira;40.8972;-8.4889
Bougado;Bougado;41.3370;-8.5590
Cacém;Cacem;38.7704;-9.3081
Vialonga;Vialonga;38.8740;-9.0820
Rio Maior;Rio Maior;39.3333;-8.9333
Belas;Belas;38.7772;-9.2608
Praia da Vitória;Praia da Vitoria;38.7333;-27.0664
Laranjeira;Laranjeira;38.6570;-9.1500
Oliveira do Hospital;Oliveira do Hospital;40.3589;-7.8625
Ul;Ul;40.8400;-8.4750
Oliveira de Azemeis;Oliveira de Azemeis;40.8400;-8.4750
Elvas;Elvas;38.8667;-7.1500
Baião;Baiao;41.1667;-8.0333
Costas de Cão;Costas de Cao;38.6640;-9.2000
Caparica;Caparica;38.6640;-9.2000
Mealhada;Mealhada;40.3833;-8.4500
Cinfães;Cinfaes;41.1000;-8.1333
Entroncamento;Entroncamento;39.4653;-8.4681
Celorico de Basto;Celorico de Basto;41.3833;-8.0000
Alfena;Alfena;41.2380;-8.5250
Coruche;Coruche;38.9569;-8.5269
Piedade;Piedade;38.6740;-9.1560
Soure;Soure;40.0500;-8.6333
Monção;Moncao;42.0764;-8.4819
Vila Real de Santo António;Vila Real de Santo Antonio;37.1939;-7.4158
Amares;Amares;41.6167;-8.3333
Camarate;Camarate;38.7980;-9.1339
Sacavém;Sacavem;38.7944;-9.1053
Mangualde;Mangualde;40.6042;-7.7611
Santa Iria da Azóia;Santa Iria da Azoia;38.8464;-9.0881
São Tiago de Custoias;Sao Tiago de Custoias;41.2000;-8.6330
Parede;Parede;38.6933;-9.3569
Lousã;Lousa;40.1167;-8.2500
Alcochete;Alcochete;38.7500;-8.9667
Montemor-o-Novo;Montemor-o-Novo;38.6500;-8.2167
Peso da Régua;Peso da Regua;41.1653;-7.7764
Condeixa-a-Nova;Condeixa-a-Nova;40.1167;-8.5000
São Pedro do Sul;Sao Pedro do Sul;40.7500;-8.0667
Sobrado de Paiva;Sobrado de Paiva;41.0667;-8.2500
Ponte de Sôr;Ponte de Sor;39.2500;-8.0167
Cabeceiras de Basto;Cabeceiras de Basto;41.5333;-8.0167
Quarteira;Quarteira;37.0690;-8.1030
Sertã;Serta;39.8000;-8.1000
Batalha;Batalha;39.6500;-8.8000
Macedo de Cavaleiros;Macedo de Cavaleiros;41.5389;-6.9608
Ramada;Ramada;38.8040;-9.1910
Serpa;Serpa;37.9447;-7.5989
Castro Daire;Castro Daire;40.9000;-7.9333
Penacova;Penacova;40.2706;-8.2833
Moura;Moura;38.1333;-7.4500
Sobreda;Sobreda;38.6480;-9.1850
Nazaré;Nazare;39.6011;-9.0706
Grândola;Grandola;38.1700;-8.5600
Anta;Anta;41.0073;-8.6250
Falagueira;Falagueira;38.7589;-9.2261
Cadaval;Cadaval;39.2333;-9.1000
Lagoa;Lagoa;37.7486;-25.5403
Valbom;Valbom;41.1333;-8.5667
Horta;Horta;38.5794;-28.7164
Estremoz;Estremoz;38.8500;-7.5833
Sines;Sines;37.9547;-8.8644
São Martinho do Bispo;Sao Martinho do Bispo;40.2131;-8.4694
Valença;Valenca;42.0167;-8.6333
Gouveia;Gouveia;40.5000;-7.6000
Nelas;Nelas;40.5167;-7.8500
Gafanha da Nazaré;Gafanha da Nazare;40.6350;-8.7140
Alcanena;Alcanena;39.4667;-8.6667
Arruda dos Vinhos;Arruda dos Vinhos;38.9833;-9.0667
Ribeira Brava;Ribeira Brava;32.6833;-17.0500
Aldeia de Paio Pires;Aldeia de Paio Pires;38.6270;-9.0760
Fátima;Fatima;39.6256;-8.6658
Bombarral;Bombarral;39.2681;-9.1553
Vila Pouca de Aguiar;Vila Pouca de Aguiar;41.5006;-7.6422
Miranda do Corvo;Miranda do Corvo;40.1000;-8.3333
Lamaçães;Lamacaes;41.5280;-8.4130
Alcácer do Sal;Alcacer do Sal;38.3725;-8.5136
Vieira do Minho;Vieira do Minho;41.6333;-8.1333
Moreira;Moreira;41.2490;-8.6500
Aldoar;Aldoar;41.1710;-8.6710
São Félix da Marinha;Sao Felix da Marinha;41.0340;-8.6230
Sabugal;Sabugal;40.3500;-7.0833
Mira;Mira;40.4333;-8.7333
Sátão;Satao;40.7333;-7.7333
Arcozelo;Arcozelo;41.0500;-8.6460
Sever do Vouga;Sever do Vouga;40.7333;-8.3667
Arganil;Arganil;40.2180;-8.0540
Tábua;Tabua;40.3603;-8.0292
Ponte da Barca;Ponte da Barca;41.8000;-8.4000
Eiras;Eiras;40.2350;-8.4178
Alijó;Alijo;41.2761;-7.4750
Vendas Novas;Vendas Novas;38.6833;-8.4500
Portela;Portela;38.7847;-9.1136
Costa de Caparica;Costa de Caparica;38.6450;-9.2370
Óbidos;Obidos;39.3581;-9.1578
Ansião;Ansiao;39.9167;-8.4333
Santa Comba Dão;Santa Comba Dao;40.4000;-8.1167
Calheta;Calheta;32.7258;-17.1658
Esmoriz;Esmoriz;40.9550;-8.6270
São João das Lampas;Sao Joao das Lampas;38.8700;-9.4210
Resende;Resende;41.1060;-7.9640
Vila Frescainha;Vila Frescainha;41.5350;-8.6150
Feira;Feira;40.9300;-8.5520
Avintes;Avintes;41.1070;-8.5510
Reguengos de Monsaraz;Reguengos de Monsaraz;38.4167;-7.5333
Oliveirinha;Oliveirinha;40.6030;-8.6050
Valadares;Valadares;41.1000;-8.6400
São Brás de Alportel;Sao Bras de Alportel;37.1500;-7.8833
Santo André;Santo Andre;38.0500;-8.7500
Murtosa;Murtosa;40.7333;-8.6333
São João de Ver;Sao Joao de Ver;40.9540;-8.5510
Grijó;Grijo;41.0333;-8.5833
Vouzela;Vouzela;40.7167;-8.0833
Montalegre;Montalegre;41.8231;-7.7917
Cunha Alta;Cunha Alta;40.6100;-7.7700
Melres;Melres;41.0667;-8.4000
Vila Franca do Campo;Vila Franca do Campo;37.7167;-25.4333
Estreito de Câmara de Lobos;Estreito de Camara de Lobos;32.6758;-16.9772
Oliveira de Frades;Oliveira de Frades;40.7167;-8.1833
Ericeira;Ericeira;38.9620;-9.4180
Moimenta da Beira;Moimenta da Beira;40.9797;-7.6136
Sobral de Monte Agraço;Sobral de Monte Agraco;39.0180;-9.1520
Setúbal;Setubal;38.5243;-8.8926
Praia do Carvoeiro;Praia do Carvoeiro;37.1200;-8.4600
Santa Clara;Santa Clara;40.1908;-8.4383
Maceira;Maceira;39.6833;-8.9000
Trancoso;Trancoso;40.7833;-7.3500
Carregal do Sal;Carregal do Sal;40.4333;-8.0000
